Categoría,Período,Valor,Fuente,Codigo,DescripcionCompleta
N,1º Trim 2004,181456.0,C3,,
O,1º Trim 2004,265001.0,C3,,
Total general,1º Trim 2004,4017843.0,C3,,
A,2º Trim 2004,273034.0,C3,,
B,2º Trim 2004,15599.0,C3,,
C,2º Trim 2004,43406.0,C3,,
D,2º Trim 2004,874212.0,C3,,
E,2º Trim 2004,47906.0,C3,,
F,2º Trim 2004,204348.0,C3,,
G,2º Trim 2004,652563.0,C3,,
H,2º Trim 2004,129507.0,C3,,
I,2º Trim 2004,339123.0,C3,,
J,2º Trim 2004,109472.0,C3,,
K,2º Trim 2004,638873.0,C3,,
M,2º Trim 2004,317498.0,C3,,
N,2º Trim 2004,183858.0,C3,,
O,2º Trim 2004,267157.0,C3,,
Total general,2º Trim 2004,4096556.0,C3,,
A,3º Trim 2004,270044.0,C3,,
B,3º Trim 2004,14092.0,C3,,
C,3º Trim 2004,44799.0,C3,,
D,3º Trim 2004,896450.0,C3,,
E,3º Trim 2004,48228.0,C3,,
F,3º Trim 2004,218614.0,C3,,
G,3º Trim 2004,681825.0,C3,,
H,3º Trim 2004,139533.0,C3,,
I,3º Trim 2004,349835.0,C3,,
J,3º Trim 2004,110477.0,C3,,
K,3º Trim 2004,665401.0,C3,,
M,3º Trim 2004,322619.0,C3,,
N,3º Trim 2004,188644.0,C3,,
O,3º Trim 2004,281649.0,C3,,
Total general,3º Trim 2004,4232210.0,C3,,
A,4º Trim 2004,273508.0,C3,,
B,4º Trim 2004,13887.0,C3,,
C,4º Trim 2004,46536.0,C3,,
D,4º Trim 2004,924967.0,C3,,
E,4º Trim 2004,48760.0,C3,,
F,4º Trim 2004,239853.0,C3,,
G,4º Trim 2004,711745.0,C3,,
H,4º Trim 2004,147447.0,C3,,
I,4º Trim 2004,358211.0,C3,,
J,4º Trim 2004,112449.0,C3,,
K,4º Trim 2004,701957.0,C3,,
M,4º Trim 2004,326559.0,C3,,
N,4º Trim 2004,192132.0,C3,,
O,4º Trim 2004,290406.0,C3,,
Total general,4º Trim 2004,4388417.0,C3,,
A,1º Trim 2005,297148.0,C3,,
B,1º Trim 2005,15153.0,C3,,
C,1º Trim 2005,48254.0,C3,,
D,1º Trim 2005,950471.0,C3,,
E,1º Trim 2005,48924.0,C3,,
F,1º Trim 2005,260936.0,C3,,
G,1º Trim 2005,733127.0,C3,,
H,1º Trim 2005,158148.0,C3,,
I,1º Trim 2005,368440.0,C3,,
J,1º Trim 2005,113283.0,C3,,
K,1º Trim 2005,729596.0,C3,,
M,1º Trim 2005,315081.0,C3,,
N,1º Trim 2005,195414.0,C3,,
O,1º Trim 2005,299942.0,C3,,
Total general,1º Trim 2005,4533917.0,C3,,
A,2º Trim 2005,299214.0,C3,,
B,2º Trim 2005,15546.0,C3,,
C,2º Trim 2005,50610.0,C3,,
D,2º Trim 2005,967347.0,C3,,
E,2º Trim 2005,49560.0,C3,,
F,2º Trim 2005,282323.0,C3,,
G,2º Trim 2005,745844.0,C3,,
H,2º Trim 2005,154107.0,C3,,
I,2º Trim 2005,378014.0,C3,,
J,2º Trim 2005,114885.0,C3,,
K,2º Trim 2005,734889.0,C3,,
M,2º Trim 2005,337692.0,C3,,
N,2º Trim 2005,198392.0,C3,,
O,2º Trim 2005,299138.0,C3,,
Total general,2º Trim 2005,4627561.0,C3,,
A,3º Trim 2005,292006.0,C3,,
B,3º Trim 2005,13904.0,C3,,
C,3º Trim 2005,51466.0,C3,,
D,3º Trim 2005,983077.0,C3,,
E,3º Trim 2005,49638.0,C3,,
F,3º Trim 2005,302773.0,C3,,
G,3º Trim 2005,762952.0,C3,,
