Período,Sector,Remuneracion
Diciembre 1998,N,830.81
Diciembre 1998,O,767.58
Enero 1999,A,317.51
Enero 1999,B,663.0
Enero 1999,C,1391.0
Enero 1999,D,602.12
Enero 1999,E,1379.76
Enero 1999,F,328.17
Enero 1999,G,482.99
Enero 1999,H,455.36
Enero 1999,I,840.87
Enero 1999,J,1184.115
Enero 1999,K,436.835
Enero 1999,M,413.15
Enero 1999,N,572.53
Enero 1999,O,533.665
Febrero 1999,A,317.51
Febrero 1999,B,772.67
Febrero 1999,C,1380.0
Febrero 1999,D,579.85
Febrero 1999,E,1302.33
Febrero 1999,F,325.88
Febrero 1999,G,474.58
Febrero 1999,H,446.08
Febrero 1999,I,833.17
Febrero 1999,J,1200.0
Febrero 1999,K,430.42
Febrero 1999,M,413.73
Febrero 1999,N,573.32
Febrero 1999,O,526.67
Marzo 1999,A,321.32
Marzo 1999,B,781.6
Marzo 1999,C,1324.99
Marzo 1999,D,606.79
Marzo 1999,E,1385.415
Marzo 1999,F,352.42
Marzo 1999,G,469.17
Marzo 1999,H,437.8
Marzo 1999,I,830.78
Marzo 1999,J,1176.605
Marzo 1999,K,429.6
Marzo 1999,M,408.51
Marzo 1999,N,567.695
Marzo 1999,O,533.265
Abril 1999,A,317.51
Abril 1999,B,869.54
Abril 1999,C,1350.0
Abril 1999,D,600.57
Abril 1999,E,1309.9
Abril 1999,F,342.48
Abril 1999,G,469.05
Abril 1999,H,440.32
Abril 1999,I,833.44
Abril 1999,J,1140.0
Abril 1999,K,430.42
Abril 1999,M,415.21
Abril 1999,N,559.31
Abril 1999,O,523.86
Mayo 1999,A,314.26
Mayo 1999,B,784.64
Mayo 1999,C,1391.985
Mayo 1999,D,604.72
Mayo 1999,E,1252.97
Mayo 1999,F,342.2
Mayo 1999,G,467.6
Mayo 1999,H,441.57
Mayo 1999,I,849.53
Mayo 1999,J,1131.335
Mayo 1999,K,431.7
Mayo 1999,M,411.2
Mayo 1999,N,565.45
Mayo 1999,O,526.0
Junio 1999,A,459.92
Junio 1999,B,967.66
Junio 1999,C,2057.1
Junio 1999,D,897.0
Junio 1999,E,1870.42
Junio 1999,F,462.32
Junio 1999,G,697.44
Junio 1999,H,638.7
Junio 1999,I,1246.29
Junio 1999,J,1718.52
Junio 1999,K,617.51
Junio 1999,M,571.03
Junio 1999,N,829.48
Junio 1999,O,779.895
Julio 1999,A,315.0
Julio 1999,B,827.28
Julio 1999,C,1394.93
Julio 1999,D,605.3
Julio 1999,E,1250.785
Julio 1999,F,334.8
Julio 1999,G,470.07
Julio 1999,H,441.495
Julio 1999,I,846.88
Julio 1999,J,1130.0
Julio 1999,K,430.42
Julio 1999,M,414.0
Julio 1999,N,567.195
Julio 1999,O,532.12
Agosto 1999,A,316.37
Agosto 1999,B,809.46
Agosto 1999,C,1387.72
Agosto 1999,D,604.0
Agosto 1999,E,1265.78
Agosto 1999,F,334.71
Agosto 1999,G,467.04
Agosto 1999,H,444.78
Agosto 1999,I,845.755
Agosto 1999,J,1154.025
Agosto 1999,K,429.06
Agosto 1999,M,409.75
Agosto 1999,N,562.375
Agosto 1999,O,530.86
Septiembre 1999,A,314.26
Septiembre 1999,B,692.425
Septiembre 1999,C,1404.9
Septiembre 1999,D,604.07
Septiembre 1999,E,1325.25
Septiembre 1999,F,338.0
Septiembre 1999,G,472.89
Septiembre 1999,H,431.76
Septiembre 1999,I,834.34
Septiembre 1999,J,1150.0
Septiembre 1999,K,430.42
Septiembre 1999,M,412.05
Septiembre 1999,N,564.87
Septiembre 1999,O,538.81
Octubre 1999,A,315.29
Octubre 1999,B,730.45
Octubre 1999,C,1374.205
Octubre 1999,D,603.275
Octubre 1999,E,1258.6
Octubre 1999,F,336.58
Octubre 1999,G,470.77
Octubre 1999,H,437.67
Octubre 1999,I,817.7
Octubre 1999,J,1148.0
Octubre 1999,K,430.12
Octubre 1999,M,412.75
Octubre 1999,N,563.97
Octubre 1999,O,537.51
Noviembre 1999,A,314.26
Noviembre 1999,B,749.63
Noviembre 1999,C,1378.69
Noviembre 1999,D,611.24
Noviembre 1999,E,1270.0
Noviembre 1999,F,345.22
Noviembre 1999,G,467.7
Noviembre 1999,H,432.1
Noviembre 1999,I,831.535
Noviembre 1999,J,1168.0
Noviembre 1999,K,428.0
Noviembre 1999,M,412.645
Noviembre 1999,N,557.56
Noviembre 1999,O,530.4
Diciembre 1999,A,458.37
Diciembre 1999,B,920.235
Diciembre 1999,C,2118.66
Diciembre 1999,D,933.79
Diciembre 1999,E,1936.79
Diciembre 1999,F,475.07
Diciembre 1999,G,699.41
Diciembre 1999,H,635.24
Diciembre 1999,I,1244.92
Diciembre 1999,J,1785.95
Diciembre 1999,K,618.74
Diciembre 1999,M,586.57
Diciembre 1999,N,833.32
Diciembre 1999,O,787.5
Enero 2000,A,319.2
Enero 2000,B,607.245
Enero 2000,C,1432.38
Enero 2000,D,616.0
Enero 2000,E,1400.0
Enero 2000,F,338.92
Enero 2000,G,486.73
Enero 2000,H,449.2
Enero 2000,I,843.26
Enero 2000,J,1221.315
Enero 2000,K,436.81
Enero 2000,M,419.16
Enero 2000,N,584.42
Enero 2000,O,545.95
Febrero 2000,A,318.66
Febrero 2000,B,802.35
Febrero 2000,C,1437.33
Febrero 2000,D,600.56
Febrero 2000,E,1318.67
Febrero 2000,F,332.635
Febrero 2000,G,476.99
Febrero 2000,H,437.98
Febrero 2000,I,830.63
Febrero 2000,J,1220.995
Febrero 2000,K,431.64
Febrero 2000,M,419.16
Febrero 2000,N,572.98
Febrero 2000,O,535.66
Marzo 2000,A,318.4
Marzo 2000,B,947.03
Marzo 2000,C,1466.67
Marzo 2000,D,619.83
Marzo 2000,E,1387.44
Marzo 2000,F,350.095
Marzo 2000,G,472.27
Marzo 2000,H,430.0
Marzo 2000,I,834.77
Marzo 2000,J,1202.825
Marzo 2000,K,430.35
Marzo 2000,M,412.0
Marzo 2000,N,567.0
Marzo 2000,O,538.84
Abril 2000,A,311.72
Abril 2000,B,1018.26
Abril 2000,C,1442.29
Abril 2000,D,598.32
Abril 2000,E,1294.33
Abril 2000,F,326.635
Abril 2000,G,470.12
Abril 2000,H,436.76
Abril 2000,I,834.87
Abril 2000,J,1190.0
Abril 2000,K,430.43
Abril 2000,M,418.945
Abril 2000,N,563.435
Abril 2000,O,531.95
Mayo 2000,A,312.62
Mayo 2000,B,773.37
Mayo 2000,C,1445.605
Mayo 2000,D,620.09
Mayo 2000,E,1272.43
Mayo 2000,F,342.24
Mayo 2000,G,473.17
Mayo 2000,H,437.98
Mayo 2000,I,833.3
Mayo 2000,J,1165.07
Mayo 2000,K,432.01
Mayo 2000,M,415.905
Mayo 2000,N,568.14
Mayo 2000,O,537.6
Junio 2000,A,454.32
Junio 2000,B,945.7
Junio 2000,C,2160.0
Junio 2000,D,904.5
Junio 2000,E,1921.335
Junio 2000,F,458.93
Junio 2000,G,702.745
Junio 2000,H,630.31
Junio 2000,I,1223.68
Junio 2000,J,1765.29
Junio 2000,K,620.53
Junio 2000,M,573.07
Junio 2000,N,829.98
Junio 2000,O,796.25
Julio 2000,A,311.08
Julio 2000,B,734.53
Julio 2000,C,1445.68
Julio 2000,D,610.6
Julio 2000,E,1269.81
Julio 2000,F,325.87
Julio 2000,G,470.02
Julio 2000,H,435.54
Julio 2000,I,828.16
Julio 2000,J,1150.0
Julio 2000,K,432.55
Julio 2000,M,420.925
Julio 2000,N,569.24
Julio 2000,O,535.75
Agosto 2000,A,315.04
Agosto 2000,B,932.69
Agosto 2000,C,1456.255
Agosto 2000,D,615.66
Agosto 2000,E,1269.75
Agosto 2000,F,334.87
Agosto 2000,G,469.43
Agosto 2000,H,439.34
Agosto 2000,I,832.67
Agosto 2000,J,1170.67
Agosto 2000,K,430.84
Agosto 2000,M,415.13
Agosto 2000,N,563.305
Agosto 2000,O,532.76
Septiembre 2000,A,309.97
Septiembre 2000,B,722.31
Septiembre 2000,C,1499.37
Septiembre 2000,D,600.0
Septiembre 2000,E,1328.985
Septiembre 2000,F,319.2
Septiembre 2000,G,474.12
Septiembre 2000,H,429.2
Septiembre 2000,I,817.7
Septiembre 2000,J,1195.87
Septiembre 2000,K,431.65
Septiembre 2000,M,416.57
Septiembre 2000,N,563.86
Septiembre 2000,O,540.91
Octubre 2000,A,312.9
Octubre 2000,B,831.63
Octubre 2000,C,1520.23
Octubre 2000,D,608.74
Octubre 2000,E,1264.795
Octubre 2000,F,325.0
Octubre 2000,G,469.13
Octubre 2000,H,430.0
Octubre 2000,I,827.26
Octubre 2000,J,1168.74
Octubre 2000,K,430.43
Octubre 2000,M,417.455
Octubre 2000,N,561.94
Octubre 2000,O,535.1
Noviembre 2000,A,310.28
Noviembre 2000,B,750.0
Noviembre 2000,C,1460.0
Noviembre 2000,D,599.05
Noviembre 2000,E,1280.0
Noviembre 2000,F,321.97
Noviembre 2000,G,466.0
