Sector,Período,Empleo
13,3º Trim 2006,5165.0
13,4º Trim 2006,5339.0
13,1º Trim 2007,5691.0
13,2º Trim 2007,5972.0
13,3º Trim 2007,6287.0
13,4º Trim 2007,6541.0
13,1º Trim 2008,6866.0
13,2º Trim 2008,7187.0
13,3º Trim 2008,7529.0
13,4º Trim 2008,7591.0
13,1º Trim 2009,7413.0
13,2º Trim 2009,7484.0
13,3º Trim 2009,7682.0
13,4º Trim 2009,7918.0
13,1º Trim 2010,8139.0
13,2º Trim 2010,8298.0
13,3º Trim 2010,8521.0
13,4º Trim 2010,8814.0
13,1º Trim 2011,9076.0
13,2º Trim 2011,9240.0
13,3º Trim 2011,9496.0
13,4º Trim 2011,9721.0
13,1º Trim 2012,9899.0
13,2º Trim 2012,10056.0
13,3º Trim 2012,10184.0
13,4º Trim 2012,10247.0
13,1º Trim 2013,10419.0
13,2º Trim 2013,10522.0
13,3º Trim 2013,10411.0
13,4º Trim 2013,10332.0
13,1º Trim 2014,10606.0
13,2º Trim 2014,10906.0
13,3º Trim 2014,11173.0
13,4º Trim 2014,11462.0
13,1º Trim 2015,11523.0
13,2º Trim 2015,11391.0
13,3º Trim 2015,11197.0
13,4º Trim 2015,10850.0
13,1º Trim 2016,10486.0
13,2º Trim 2016,10260.0
13,3º Trim 2016,10228.0
13,4º Trim 2016,10381.0
13,1º Trim 2017,10355.0
13,2º Trim 2017,10170.0
13,3º Trim 2017,10234.0
13,4º Trim 2017,10257.0
13,1º Trim 2018,10293.0
13,2º Trim 2018,10043.0
13,3º Trim 2018,9705.0
13,4º Trim 2018,9573.0
13,1º Trim 2019,9624.0
13,2º Trim 2019,9647.0
13,3º Trim 2019,9664.0
13,4º Trim 2019,9719.0
13,1º Trim 2020,9710.0
13,2º Trim 2020,9456.0
13,3º Trim 2020,9505.0
13,4º Trim 2020,9671.0
13,1º Trim 2021,9666.0
13,2º Trim 2021,9684.0
13,3º Trim 2021,9763.0
13,4º Trim 2021,9792.0
13,1º Trim 2022,10044.0
13,2º Trim 2022,10177.0
13,3º Trim 2022,10423.0
13,4º Trim 2022,10420.0
13,1º Trim 2023,10337.0
13,2º Trim 2023,10299.0
13,3º Trim 2023,10451.0
13,4º Trim 2023,10634.0
13,1º Trim 2024,10748.0
13,2º Trim 2024,10683.0
13,3º Trim 2024,10593.0
13,4º Trim 2024,10591.0
13,1º Trim 2025,10651.0
13,2º Trim 2025,10747.0
14,1º Trim 1996,7637.0
14,2º Trim 1996,7615.0
14,3º Trim 1996,7782.0
14,4º Trim 1996,8169.0
14,1º Trim 1997,7497.0
14,2º Trim 1997,7962.0
14,3º Trim 1997,8500.0
14,4º Trim 1997,8704.0
14,1º Trim 1998,8616.0
14,2º Trim 1998,8743.0
14,3º Trim 1998,8775.0
14,4º Trim 1998,8618.0
14,1º Trim 1999,8429.0
14,2º Trim 1999,7855.0
14,3º Trim 1999,7622.0
14,4º Trim 1999,7703.0
14,1º Trim 2000,7458.0
14,2º Trim 2000,7245.0
14,3º Trim 2000,7115.0
14,4º Trim 2000,7049.0
14,1º Trim 2001,6927.0
14,2º Trim 2001,6844.0
14,3º Trim 2001,6588.0
14,4º Trim 2001,6440.0
14,1º Trim 2002,6102.0
14,2º Trim 2002,5832.0
14,3º Trim 2002,5590.0
14,4º Trim 2002,5679.0
14,1º Trim 2003,5914.0
14,2º Trim 2003,6082.0
14,3º Trim 2003,6406.0
14,4º Trim 2003,6762.0
14,1º Trim 2004,7103.0
14,2º Trim 2004,7420.0
14,3º Trim 2004,7747.0
14,4º Trim 2004,8095.0
14,1º Trim 2005,8511.0
14,2º Trim 2005,8803.0
14,3º Trim 2005,9036.0
14,4º Trim 2005,9410.0
14,1º Trim 2006,9789.0
14,2º Trim 2006,10080.0
14,3º Trim 2006,10301.0
14,4º Trim 2006,10659.0
14,1º Trim 2007,10885.0
14,2º Trim 2007,10943.0
14,3º Trim 2007,11242.0
14,4º Trim 2007,11415.0
14,1º Trim 2008,11633.0
14,2º Trim 2008,11692.0
14,3º Trim 2008,11685.0
14,4º Trim 2008,11425.0
14,1º Trim 2009,11162.0
14,2º Trim 2009,11051.0
14,3º Trim 2009,10999.0
14,4º Trim 2009,11035.0
14,1º Trim 2010,11203.0
14,2º Trim 2010,11364.0
14,3º Trim 2010,11334.0
14,4º Trim 2010,11609.0
14,1º Trim 2011,12194.0
14,2º Trim 2011,12520.0
14,3º Trim 2011,12414.0
14,4º Trim 2011,12495.0
14,1º Trim 2012,12563.0
14,2º Trim 2012,12608.0
14,3º Trim 2012,12491.0
14,4º Trim 2012,12451.0
14,1º Trim 2013,12484.0
14,2º Trim 2013,12330.0
14,3º Trim 2013,12155.0
14,4º Trim 2013,12178.0
14,1º Trim 2014,12072.0
14,2º Trim 2014,11894.0
14,3º Trim 2014,11777.0
14,4º Trim 2014,11769.0
14,1º Trim 2015,11800.0
14,2º Trim 2015,11829.0
14,3º Trim 2015,11854.0
14,4º Trim 2015,11770.0
14,1º Trim 2016,11974.0
14,2º Trim 2016,11784.0
14,3º Trim 2016,11733.0
14,4º Trim 2016,11880.0
14,1º Trim 2017,12051.0
14,2º Trim 2017,11979.0
