Período,Sector,Altas,Bajas,Creacion_Neta
2º Trim 2024,B,1038.0,1405.0,-367.0
1º Trim 2025,B,2212.0,570.0,1642.0
1º Trim 2025,B,677.0,2126.0,-1449.0
1º Trim 1996,C,1851.0,1177.0,674.0
1º Trim 1996,C,1852.0,1412.0,440.0
2º Trim 1996,C,2803.0,744.0,2059.0
1º Trim 1997,C,1439.0,1963.0,-524.0
1º Trim 1997,C,2404.0,1043.0,1361.0
1º Trim 1997,C,2102.0,1545.0,557.0
2º Trim 1997,C,1361.0,1317.0,44.0
1º Trim 1998,C,2323.0,1419.0,904.0
1º Trim 1998,C,1977.0,1481.0,496.0
1º Trim 1998,C,1392.0,1562.0,-170.0
2º Trim 1998,C,1222.0,2957.0,-1735.0
1º Trim 1999,C,849.0,2580.0,-1731.0
1º Trim 1999,C,1726.0,2384.0,-658.0
1º Trim 1999,C,1732.0,1495.0,237.0
2º Trim 1999,C,1809.0,1050.0,759.0
1º Trim 2000,C,2263.0,1435.0,828.0
1º Trim 2000,C,1289.0,950.0,339.0
1º Trim 2000,C,1470.0,1480.0,-10.0
2º Trim 2000,C,1917.0,2140.0,-223.0
1º Trim 2001,C,2070.0,989.0,1081.0
1º Trim 2001,C,1407.0,871.0,536.0
1º Trim 2001,C,980.0,1857.0,-877.0
2º Trim 2001,C,1048.0,1454.0,-406.0
1º Trim 2002,C,1068.0,1874.0,-806.0
1º Trim 2002,C,867.0,2293.0,-1426.0
1º Trim 2002,C,1047.0,1303.0,-256.0
2º Trim 2002,C,1443.0,562.0,881.0
1º Trim 2003,C,1705.0,346.0,1359.0
1º Trim 2003,C,1964.0,592.0,1372.0
1º Trim 2003,C,1659.0,476.0,1183.0
2º Trim 2003,C,1891.0,776.0,1115.0
1º Trim 2004,C,2492.0,568.0,1924.0
1º Trim 2004,C,1677.0,625.0,1052.0
1º Trim 2004,C,2028.0,631.0,1397.0
2º Trim 2004,C,2287.0,549.0,1738.0
1º Trim 2005,C,2931.0,1202.0,1729.0
1º Trim 2005,C,3176.0,819.0,2357.0
1º Trim 2005,C,1872.0,1017.0,855.0
2º Trim 2005,C,1999.0,784.0,1215.0
1º Trim 2006,C,2851.0,647.0,2204.0
1º Trim 2006,C,1762.0,995.0,767.0
1º Trim 2006,C,2179.0,1042.0,1137.0
2º Trim 2006,C,2777.0,648.0,2129.0
1º Trim 2007,C,3003.0,660.0,2343.0
1º Trim 2007,C,2515.0,1039.0,1476.0
1º Trim 2007,C,2752.0,801.0,1951.0
2º Trim 2007,C,2842.0,868.0,1974.0
1º Trim 2008,C,2703.0,817.0,1886.0
1º Trim 2008,C,2310.0,1207.0,1103.0
1º Trim 2008,C,2162.0,1177.0,985.0
2º Trim 2008,C,1823.0,1549.0,274.0
1º Trim 2009,C,1009.0,2253.0,-1244.0
1º Trim 2009,C,1293.0,2488.0,-1195.0
1º Trim 2009,C,1320.0,1725.0,-405.0
2º Trim 2009,C,1534.0,1460.0,74.0
1º Trim 2010,C,2192.0,1259.0,933.0
1º Trim 2010,C,1654.0,1003.0,651.0
1º Trim 2010,C,2009.0,908.0,1101.0
2º Trim 2010,C,2196.0,1027.0,1169.0
1º Trim 2011,C,2473.0,1321.0,1152.0
1º Trim 2011,C,1932.0,1337.0,595.0
1º Trim 2011,C,2253.0,1099.0,1154.0
2º Trim 2011,C,2469.0,1129.0,1340.0
1º Trim 2012,C,2349.0,1155.0,1194.0
1º Trim 2012,C,1837.0,1392.0,445.0
1º Trim 2012,C,1942.0,1528.0,414.0
2º Trim 2012,C,2163.0,1578.0,585.0
1º Trim 2013,C,2086.0,1058.0,1028.0
1º Trim 2013,C,1841.0,1257.0,584.0
1º Trim 2013,C,2200.0,1165.0,1035.0
2º Trim 2013,C,2797.0,1026.0,1771.0
1º Trim 2014,C,3145.0,947.0,2198.0
1º Trim 2014,C,2379.0,1253.0,1126.0
1º Trim 2014,C,2828.0,1563.0,1265.0
2º Trim 2014,C,2959.0,1135.0,1824.0
1º Trim 2015,C,2514.0,908.0,1606.0
1º Trim 2015,C,1365.0,1702.0,-337.0
1º Trim 2015,C,1315.0,1787.0,-472.0
2º Trim 2015,C,993.0,2028.0,-1035.0
1º Trim 2016,C,1162.0,2443.0,-1281.0
1º Trim 2016,C,1116.0,3478.0,-2362.0
1º Trim 2016,C,1674.0,2887.0,-1213.0
2º Trim 2016,C,1356.0,1953.0,-597.0
1º Trim 2017,C,1525.0,2968.0,-1443.0
1º Trim 2017,C,1084.0,2473.0,-1389.0
1º Trim 2017,C,1574.0,1649.0,-75.0
2º Trim 2017,C,1779.0,1623.0,156.0
1º Trim 2018,C,2206.0,1881.0,325.0
1º Trim 2018,C,5288.0,1951.0,3337.0
1º Trim 2018,C,2398.0,2012.0,386.0
2º Trim 2018,C,2979.0,1627.0,1352.0
1º Trim 2019,C,3031.0,1519.0,1512.0
1º Trim 2019,C,2874.0,1657.0,1217.0
1º Trim 2019,C,2277.0,1278.0,999.0
2º Trim 2019,C,1597.0,1878.0,-281.0
1º Trim 2020,C,1719.0,2527.0,-808.0
1º Trim 2020,C,470.0,2789.0,-2319.0
1º Trim 2020,C,858.0,3553.0,-2695.0
2º Trim 2020,C,1308.0,2764.0,-1456.0
1º Trim 2021,C,3477.0,1841.0,1636.0
1º Trim 2021,C,1987.0,1316.0,671.0
1º Trim 2021,C,1774.0,1083.0,691.0
2º Trim 2021,C,1922.0,991.0,931.0
1º Trim 2022,C,2646.0,883.0,1763.0
1º Trim 2022,C,2306.0,1120.0,1186.0
1º Trim 2022,C,3114.0,1199.0,1915.0
2º Trim 2022,C,2925.0,1066.0,1859.0
1º Trim 2023,C,2996.0,1112.0,1884.0
1º Trim 2023,C,2815.0,1589.0,1226.0
1º Trim 2023,C,2545.0,1047.0,1498.0
2º Trim 2023,C,2318.0,1307.0,1011.0
1º Trim 2024,C,2853.0,1416.0,1437.0
1º Trim 2024,C,1535.0,1862.0,-327.0
1º Trim 2024,C,1454.0,1730.0,-276.0
2º Trim 2024,C,1410.0,2081.0,-671.0
1º Trim 2025,C,2163.0,3625.0,-1462.0
1º Trim 2025,C,2357.0,5713.0,-3356.0
1º Trim 1996,D,49470.0,41827.0,7643.0
1º Trim 1996,D,50529.0,44505.0,6024.0
2º Trim 1996,D,52926.0,38909.0,14017.0
1º Trim 1997,D,56407.0,45080.0,11327.0
1º Trim 1997,D,56001.0,44935.0,11066.0
1º Trim 1997,D,47724.0,47370.0,354.0
2º Trim 1997,D,53558.0,40010.0,13548.0
1º Trim 1998,D,53239.0,47821.0,5418.0
1º Trim 1998,D,50926.0,48884.0,2042.0
1º Trim 1998,D,44064.0,51194.0,-7130.0
2º Trim 1998,D,41323.0,47296.0,-5973.0
1º Trim 1999,D,44349.0,58185.0,-13836.0
1º Trim 1999,D,36017.0,58008.0,-21991.0
1º Trim 1999,D,32524.0,51680.0,-19156.0
2º Trim 1999,D,37332.0,42916.0,-5584.0
1º Trim 2000,D,41548.0,47118.0,-5570.0
1º Trim 2000,D,32810.0,50983.0,-18173.0
1º Trim 2000,D,37666.0,46031.0,-8365.0
2º Trim 2000,D,40897.0,43129.0,-2232.0
1º Trim 2001,D,41330.0,44212.0,-2882.0
1º Trim 2001,D,35903.0,51525.0,-15622.0
1º Trim 2001,D,27872.0,49702.0,-21830.0
2º Trim 2001,D,26981.0,53023.0,-26042.0
1º Trim 2002,D,27314.0,63888.0,-36574.0
1º Trim 2002,D,25148.0,39241.0,-14093.0
1º Trim 2002,D,28097.0,33475.0,-5378.0
2º Trim 2002,D,35365.0,27001.0,8364.0
1º Trim 2003,D,48355.0,25225.0,23130.0
1º Trim 2003,D,43384.0,27058.0,16326.0
1º Trim 2003,D,49977.0,27145.0,22832.0
2º Trim 2003,D,52055.0,23902.0,28153.0
1º Trim 2004,D,56879.0,24102.0,32777.0
1º Trim 2004,D,49801.0,32785.0,17016.0
1º Trim 2004,D,50625.0,28454.0,22171.0
2º Trim 2004,D,54607.0,26219.0,28388.0
1º Trim 2005,D,56044.0,30748.0,25296.0
1º Trim 2005,D,52247.0,35266.0,16981.0
1º Trim 2005,D,49597.0,33883.0,15714.0
2º Trim 2005,D,56560.0,28685.0,27875.0
1º Trim 2006,D,58972.0,34659.0,24313.0
1º Trim 2006,D,53044.0,38489.0,14555.0
1º Trim 2006,D,48273.0,34465.0,13808.0
2º Trim 2006,D,54773.0,31949.0,22824.0
1º Trim 2007,D,60242.0,37674.0,22568.0
1º Trim 2007,D,54512.0,40625.0,13887.0
1º Trim 2007,D,53366.0,35712.0,17654.0
2º Trim 2007,D,56879.0,32292.0,24587.0
1º Trim 2008,D,63895.0,40862.0,23033.0
1º Trim 2008,D,59262.0,43977.0,15285.0
1º Trim 2008,D,49297.0,44723.0,4574.0
2º Trim 2008,D,41556.0,46219.0,-4663.0
1º Trim 2009,D,42050.0,58218.0,-16168.0
1º Trim 2009,D,38200.0,57483.0,-19283.0
1º Trim 2009,D,38484.0,40082.0,-1598.0
2º Trim 2009,D,45589.0,34973.0,10616.0
1º Trim 2010,D,49635.0,37748.0,11887.0
1º Trim 2010,D,55934.0,46999.0,8935.0
1º Trim 2010,D,43598.0,37035.0,6563.0
2º Trim 2010,D,47451.0,34401.0,13050.0
1º Trim 2011,D,54606.0,34562.0,20044.0
1º Trim 2011,D,53610.0,40507.0,13103.0
1º Trim 2011,D,46838.0,37272.0,9566.0
2º Trim 2011,D,47542.0,33544.0,13998.0
1º Trim 2012,D,44314.0,42072.0,2242.0
1º Trim 2012,D,45615.0,49867.0,-4252.0
1º Trim 2012,D,36571.0,38848.0,-2277.0
2º Trim 2012,D,44900.0,33454.0,11446.0
1º Trim 2013,D,49620.0,39161.0,10459.0
1º Trim 2013,D,39919.0,42127.0,-2208.0
1º Trim 2013,D,37787.0,39571.0,-1784.0
2º Trim 2013,D,38368.0,33091.0,5277.0
1º Trim 2014,D,38049.0,42054.0,-4005.0
1º Trim 2014,D,34026.0,42955.0,-8929.0
1º Trim 2014,D,32613.0,37734.0,-5121.0
